date,episode_id,gate,area,status,source_path,notes
2026-05-29,s01e03-rooftop-golden-hour-longplay,gate_0_bootstrap,episode_packet,scaffolded_source_only,channel/episodes/s01e03-rooftop-golden-hour-longplay/manifest.json,Fresh episode packet scaffold created with no media candidates or release facts
2026-05-29,s01e03-rooftop-golden-hour-longplay,gate_0_bootstrap,source_packet,pending,channel/episodes/s01e03-rooftop-golden-hour-longplay/source/songs.md,Gate 1 source packet still needs shape review song source Suno fields visual source metadata and reviews
2026-05-29,s01e03-rooftop-golden-hour-longplay,gate_0_bootstrap,release_gate,blocked,channel/episodes/s01e03-rooftop-golden-hour-longplay/reviews/release-decision-plan.md,Upload publish API browser schedule analytics Content ID and account actions remain blocked
2026-05-29,s01e03-rooftop-golden-hour-longplay,gate_1_source,source_packet,locked,channel/episodes/s01e03-rooftop-golden-hour-longplay/source/songs.md,Gate 1 source packet including lyrics prompt-pack visual.md and metadata.md is locked
2026-05-30,s01e03-rooftop-golden-hour-longplay,gate_2_intake,audio_candidates,pass,channel/episodes/s01e03-rooftop-golden-hour-longplay/reviews/audio-candidate-intake.md,26 WAV files inventory checked and c01/c02 candidates organized
2026-05-30,s01e03-rooftop-golden-hour-longplay,gate_2_intake,visual_candidates,pass,channel/episodes/s01e03-rooftop-golden-hour-longplay/reviews/visual-candidate-intake.md,vis-c01 playlist-cover still frame candidate checked and organized
2026-05-30,s01e03-rooftop-golden-hour-longplay,gate_2_intake,subtitles,pass,channel/episodes/s01e03-rooftop-golden-hour-longplay/reviews/subtitles.md,Authoritative subtitle timings generated via stable-ts and sidecars promoted
2026-06-02,s01e03-rooftop-golden-hour-longplay,gate_3_render,final_video_approval,pass,channel/episodes/s01e03-rooftop-golden-hour-longplay/reviews/render-export-qa.md,User approved render-02 final-video candidate for YouTube upload
2026-06-02,s01e03-rooftop-golden-hour-longplay,gate_6_youtube_api,private_video_upload,pass,channel/episodes/s01e03-rooftop-golden-hour-longplay/reviews/youtube-api-execution-gate.md,Guarded YouTube Data API videos.insert completed as private video ID 2P6fPs7NB0E
2026-06-02,s01e03-rooftop-golden-hour-longplay,gate_6_youtube_api,top_level_comment,blocked,channel/episodes/s01e03-rooftop-golden-hour-longplay/reviews/youtube-api-execution-gate.md,commentThreads.insert returned 403 forbidden so no comment was created and no pinning was attempted
2026-06-02,s01e03-rooftop-golden-hour-longplay,gate_6_youtube_api,video_visibility_observation,observed_public,channel/episodes/s01e03-rooftop-golden-hour-longplay/reviews/youtube-api-execution-gate.md,Later API check during comment retry observed video ID 2P6fPs7NB0E as public and processed
2026-06-02,s01e03-rooftop-golden-hour-longplay,gate_6_youtube_api,top_level_comment_retry,pass,channel/episodes/s01e03-rooftop-golden-hour-longplay/reviews/youtube-api-execution-gate.md,commentThreads.insert retry created top-level comment ID Ugw3CXuFnYeKOp4TNi54AaABAg
2026-06-02,s01e03-rooftop-golden-hour-longplay,gate_6_youtube_api,comment_pinning,pending_manual_or_future_gate,channel/episodes/s01e03-rooftop-golden-hour-longplay/reviews/youtube-api-execution-gate.md,API helper does not support comment pinning
2026-06-03,s01e03-rooftop-golden-hour-longplay,gate_6_youtube_api,thumbnail_upload,pass,channel/episodes/s01e03-rooftop-golden-hour-longplay/source/youtube-api-thumbnail-upload-package.md,Guarded YouTube Data API thumbnails.set completed for selected local PNG and returned maxres 1280x720 variant
2026-06-03,s01e03-rooftop-golden-hour-longplay,release_gate_public_release_completed,youtube_public_release,manual_public_release_completed_pin_pending,channel/episodes/s01e03-rooftop-golden-hour-longplay/manifest.json,API upload observed as public and top-level comment + thumbnail follow-ups complete; manual browser pin step remains pending
