date,episode_id,item_type,item_id,source_path,provenance_status,notes
2026-05-29,s01e03-rooftop-golden-hour-longplay,planning_hook,season_week,channel/roadmap.md,source_internal,Seeded from roadmap concept: Rooftop Golden Hour Longplay
2026-05-29,s01e03-rooftop-golden-hour-longplay,operating_boundary,local_source_first,docs/operating-boundary.md,source_internal,Only source packet work is allowed by this scaffold
2026-05-30,s01e03-rooftop-golden-hour-longplay,media_audio,raw_suno_generations,"candidates/s01e03-rooftop-golden-hour-longplay/audio/",unknown_user_supplied,"26 user-supplied raw PCM WAV audio candidate tracks"
2026-05-30,s01e03-rooftop-golden-hour-longplay,media_visual,raw_chatgpt_generation,"candidates/s01e03-rooftop-golden-hour-longplay/visual/ChatGPT Image May 29, 2026, 09_23_02 PM.png",unknown_user_supplied,"1 user-supplied 16:9 widescreen layout background still candidate"
2026-05-30,s01e03-rooftop-golden-hour-longplay,local_render,render-02-qa-mp4,candidates/s01e03-rooftop-golden-hour-longplay/render/local-render-02/video/s01e03-rooftop-golden-hour-longplay.local-render-02-draft-subtitled-1080p24-qa.mp4,active,"Render-02 subtitled MP4 video compiled locally using scripts/render_s01e03_local.py, G.png scaled still, c01 audio timeline, promoted sidecars, and ffmpeg"
2026-05-30,s01e03-rooftop-golden-hour-longplay,local_snapshots,render-02-snapshots,candidates/s01e03-rooftop-golden-hour-longplay/render/local-render-02/qa/snapshots/,active,"6 local PNG snapshots extracted from render-02 for HIL-3 review"
2026-06-02,s01e03-rooftop-golden-hour-longplay,youtube_api,private_video_upload,channel/episodes/s01e03-rooftop-golden-hour-longplay/reviews/youtube-api-execution-gate.md,active,"Guarded YouTube Data API videos.insert uploaded render-02 MP4 as private video ID 2P6fPs7NB0E after authenticated channel verification"
2026-06-02,s01e03-rooftop-golden-hour-longplay,youtube_api,top_level_comment_attempt,channel/episodes/s01e03-rooftop-golden-hour-longplay/reviews/youtube-api-execution-gate.md,blocked,"commentThreads.insert attempt returned 403 forbidden; no comment thread ID exists and no pinning was attempted"
2026-06-02,s01e03-rooftop-golden-hour-longplay,youtube_api,video_visibility_observation,channel/episodes/s01e03-rooftop-golden-hour-longplay/reviews/youtube-api-execution-gate.md,observed,"YouTube Data API videos.list later returned privacyStatus public and uploadStatus processed for video ID 2P6fPs7NB0E during comment retry"
2026-06-02,s01e03-rooftop-golden-hour-longplay,youtube_api,top_level_comment_retry,channel/episodes/s01e03-rooftop-golden-hour-longplay/reviews/youtube-api-execution-gate.md,active,"commentThreads.insert retry created top-level comment ID Ugw3CXuFnYeKOp4TNi54AaABAg"
2026-06-03,s01e03-rooftop-golden-hour-longplay,youtube_api,thumbnail_upload,channel/episodes/s01e03-rooftop-golden-hour-longplay/source/youtube-api-thumbnail-upload-package.md,active,"Guarded YouTube Data API thumbnails.set uploaded selected local PNG for video ID 2P6fPs7NB0E after authenticated channel verification"
