date,episode_id,asset_type,asset_id,path,status,notes
2026-05-26,s01e02-classroom-window-longplay,source_doc,manifest,channel/episodes/s01e02-classroom-window-longplay/manifest.json,active,Episode truth file for source packet state
2026-05-26,s01e02-classroom-window-longplay,source_doc,songs_source,channel/episodes/s01e02-classroom-window-longplay/source/songs.md,active,Song outline and manual-only lyric source
2026-05-26,s01e02-classroom-window-longplay,source_doc,visual_source,channel/episodes/s01e02-classroom-window-longplay/source/visual.md,active,Still-frame prompt and visual overlay plans
2026-05-26,s01e02-classroom-window-longplay,source_doc,metadata_source,channel/episodes/s01e02-classroom-window-longplay/source/metadata.md,active,Metadata details and chapter timestamps
2026-05-29,s01e02-classroom-window-longplay,source_doc,video_upload_package,channel/episodes/s01e02-classroom-window-longplay/source/youtube-api-video-upload-package.md,active,YouTube Data API video insert details
2026-05-29,s01e02-classroom-window-longplay,source_doc,thumbnail_upload_package,channel/episodes/s01e02-classroom-window-longplay/source/youtube-api-thumbnail-upload-package.md,active,YouTube Data API thumbnail set details
2026-05-29,s01e02-classroom-window-longplay,source_doc,youtube_video_resource,channel/episodes/s01e02-classroom-window-longplay/source/youtube-video-resource.json,active,YouTube video resource metadata body
2026-05-27,s01e02-classroom-window-longplay,media_image,background_image,candidates/s01e02-classroom-window-longplay/visual/selected/vis-c01--classroom-window-night-mode.png,active,Selected background image
2026-05-28,s01e02-classroom-window-longplay,media_video,render_output,candidates/s01e02-classroom-window-longplay/render/local-render-02/video/s01e02-classroom-window-longplay.local-render-02-draft-subtitled-1080p24-qa.mp4,active,Final user-approved subtitled MP4 video
2026-05-28,s01e02-classroom-window-longplay,media_subtitle,subtitle_srt,channel/episodes/s01e02-classroom-window-longplay/subtitles/s01e02-classroom-window-longplay.en.srt,active,Timed and timed SRT subtitles
2026-05-30,s01e02-classroom-window-longplay,thumbnail,layered-premium,candidates/s01e02-classroom-window-longplay/thumbnail/s01e02-classroom-window-longplay.thumbnail-layered-premium-1280x720.png,active,High-fidelity layered premium floating-text PNG YouTube thumbnail candidate
