date,episode_id,item_type,item_id,source_path,provenance_status,notes
2026-05-26,s01e02-classroom-window-longplay,planning_hook,season_week,channel/roadmap.md,source_internal,Seeded from roadmap concept: Classroom Window Longplay
2026-05-26,s01e02-classroom-window-longplay,operating_boundary,local_source_first,docs/operating-boundary.md,source_internal,Only source packet work is allowed by this scaffold
2026-05-26,s01e02-classroom-window-longplay,planning_input,channel_strategy,channel/channel.md,source_internal,Channel promise and boundaries used for Gate 1 shaping
2026-05-26,s01e02-classroom-window-longplay,planning_input,provider_boundary,docs/provider-platform-boundary.md,source_internal,Provider and platform actions remain blocked during source shaping
2026-05-26,s01e02-classroom-window-longplay,workflow_lesson,s01e01_source_gates,channel/episodes/s01e01-campus-cafe-longplay/reviews/source-approval-workflow.md,source_internal,Strict pattern Track Delta lexical ledger and BPM gates carried forward
2026-05-26,s01e02-classroom-window-longplay,source_draft,track_1_lyrics,channel/episodes/s01e02-classroom-window-longplay/source/songs.md,source_internal,Original Track 1 lyrics drafted and revised source only from episode spine and Track Delta
2026-05-26,s01e02-classroom-window-longplay,source_fields,track_1_suno_pack,channel/episodes/s01e02-classroom-window-longplay/source/suno-tracks/01-chalk-dust-on-the-window-rail.md,source_internal,Track 1 field wording synced source only with no provider operation or media facts
2026-05-26,s01e02-classroom-window-longplay,source_draft,tracks_2_13_batch_draft,channel/episodes/s01e02-classroom-window-longplay/source/batch-draft-tracks-2-13.md,source_internal,Tracks 2-13 staging draft created from episode spine sub-theme matrix and batch workflow; not approved and no media/provider facts
2026-05-26,s01e02-classroom-window-longplay,source_review,tracks_2_13_batch_lyric_review,channel/episodes/s01e02-classroom-window-longplay/reviews/lyrics.md,source_internal,Initial batch lyric review returned REVISE_BATCH with no provider media render upload release or rights approval
2026-05-26,s01e02-classroom-window-longplay,source_review,tracks_2_13_batch_lyric_review_pass,channel/episodes/s01e02-classroom-window-longplay/reviews/lyrics.md,source_internal,Revised batch lyric review returned PASS_FOR_TRACK_SYNC with only minor per-track sync cleanup notes and no provider media render upload release or rights approval
2026-05-26,s01e02-classroom-window-longplay,source_fields,tracks_2_13_suno_packs,channel/episodes/s01e02-classroom-window-longplay/source/suno-tracks,source_internal,Tracks 2-13 source-only copy packs created from current batch draft and episode field matrix pending source-only Suno field review
2026-05-26,s01e02-classroom-window-longplay,source_review,tracks_2_13_suno_field_review_pass,channel/episodes/s01e02-classroom-window-longplay/reviews/suno-manual-fields.md,source_internal,"Tracks 2-13 source-only Suno field review passed with BPM spine fit, reserved-slot control, and no named-reference or provider/release claim issues"
2026-05-26,s01e02-classroom-window-longplay,source_doc,prompt_pack_sync,channel/episodes/s01e02-classroom-window-longplay/source/prompt-pack.md,source_internal,Prompt pack updated to the synced Tracks 1-13 source sequence with per-track pack pointers and source-only use rules
2026-05-26,s01e02-classroom-window-longplay,source_review,prompt_pack_review,channel/episodes/s01e02-classroom-window-longplay/reviews/prompt-pack.md,source_internal,Prompt pack reviewed as full source sequence sync with provider and release boundaries still blocked
2026-05-26,s01e02-classroom-window-longplay,source_doc,visual_direction,channel/episodes/s01e02-classroom-window-longplay/source/visual.md,source_internal,Classroom-window visual direction written as original reference-free source-only still-frame and safe-zone plan
2026-05-26,s01e02-classroom-window-longplay,source_review,visual_review,channel/episodes/s01e02-classroom-window-longplay/reviews/visual.md,source_internal,Visual direction reviewed as source-only with original reference-free framing and provider/image-generation boundary intact
